stringsfile version 1
1573
str_no_string NO_STRING!
str_you_speak_of_protecting_the_commons_how_kind_of_you_i_shall_tell_my_swineherd_all_about_your_sweet_promises_no_doubt_he_will_become_your_most_faithful_vassal You_speak_of_protecting_the_commons._How_kind_of_you!_I_shall_tell_my_swineherd_all_about_your_sweet_promises._No_doubt_he_will_become_your_most_faithful_vassal.
str_you_speak_of_protecing_the_rights_of_lords_such_sweet_words_but_ill_tell_you_this__the_only_rights_that_are_respected_in_this_world_are_the_rights_to_dominate_whoever_is_weaker_and_to_submit_to_whoever_is_stronger You_speak_of_protecing_the_rights_of_lords._Such_sweet_words!_But_I'll_tell_you_this_--_the_only_rights_that_are_respected_in_this_world_are_the_rights_to_dominate_whoever_is_weaker,_and_to_submit_to_whoever_is_stronger.
str_you_speak_of_giving_me_land_yes_very_good__but_you_had_best_deliver You_speak_of_giving_me_land._Yes,_very_good_--_but_you_had_best_deliver.
str_you_speak_of_giving_me_land_hah_perhaps_all_those_others_to_whom_you_promised_lands_will_simply_step_aside You_speak_of_giving_me_land._Hah!_Perhaps_all_those_others_to_whom_you_promised_lands_will_simply_step_aside?
str_you_speak_of_unifying_calradia_you_may_indeed_humble_the_other_kings_of_this_land_and_in_that_case_i_would_hope_that_you_would_remember_me_as_your_faithful_servant You_speak_of_unifying_Calradia._You_may_indeed_humble_the_other_kings_of_this_land,_and_in_that_case_I_would_hope_that_you_would_remember_me_as_your_faithful_servant.
str_you_speak_of_unifying_calradia_but_you_are_weak_and_i_think_that_you_will_remain_weak You_speak_of_unifying_Calradia._But_you_are_weak,_and_I_think_that_you_will_remain_weak.
str_you_speak_of_claims_its_good_for_a_king_to_have_a_strong_claim_although_admittedly_im_more_concerned_that_he_rules_just_ly_than_with_legalities_anyway_your_claim_seems_wellfounded_to_me You_speak_of_claims._It's_good_for_a_king_to_have_a_strong_claim,_although_admittedly_I'm_more_concerned_that_he_rules_just_ly_than_with_legalities._Anyway,_your_claim_seems_well-founded_to_me.
str_you_speak_of_claims_but_your_claim_seems_a_bit_weak_to_me You_speak_of_claims,_but_your_claim_seems_a_bit_weak_to_me.
str_you_speak_of_protecting_the_commons_i_like_that_my_tenants_are_a_happy_lot_i_think_but_i_hear_of_others_in_other_estates_that_arent_so_fortunate You_speak_of_protecting_the_commons._I_like_that._My_tenants_are_a_happy_lot,_I_think,_but_I_hear_of_others_in_other_estates_that_aren't_so_fortunate.
str_you_speak_of_protecting_the_commons_im_glad_to_hear_you_say_that_but_do_me_a_favor__dont_promise_the_commons_anything_you_cant_deliver_thats_a_sure_way_to_get_them_to_rebel_and_it_breaks_my_heart_to_have_to_put_them_down You_speak_of_protecting_the_commons._I'm_glad_to_hear_you_say_that._But_do_me_a_favor_--_don't_promise_the_commons_anything_you_can't_deliver._That's_a_sure_way_to_get_them_to_rebel,_and_it_breaks_my_heart_to_have_to_put_them_down.
str_you_speak_of_protecting_the_rights_of_lords_well_very_good_i_suppose_but_you_know__we_lords_can_take_of_ourselves_its_the_common_folk_who_need_a_strong_king_to_look_out_for_them_to_my_mind You_speak_of_protecting_the_rights_of_lords._Well,_very_good,_I_suppose._But_you_know_--_we_lords_can_take_of_ourselves._It's_the_common_folk_who_need_a_strong_king_to_look_out_for_them,_to_my_mind.
str_you_speak_of_giving_me_land_its_kind_of_you_really_though_that_is_not_necessary You_speak_of_giving_me_land._It's_kind_of_you._Really,_though,_that_is_not_necessary.
str_you_speak_of_unifying_calradia_well_maybe_you_can_unite_this_land_by_the_sword_but_im_not_sure_that_this_will_make_you_a_good_ruler You_speak_of_unifying_Calradia._Well,_maybe_you_can_unite_this_land_by_the_sword._But_I'm_not_sure_that_this_will_make_you_a_good_ruler.
str_you_speak_of_claims_a_king_must_have_a_strong_legal_claim_for_there_not_to_be_chaos_in_the_realm_and_yours_is_wellestablished You_speak_of_claims._A_king_must_have_a_strong_legal_claim_for_there_not_to_be_chaos_in_the_realm,_and_yours_is_well-established.
str_you_speak_of_claims_a_king_must_have_a_strong_legal_claim_for_there_not_to_be_chaos_in_the_realm_but_your_claim_is_not_so_strong You_speak_of_claims._A_king_must_have_a_strong_legal_claim_for_there_not_to_be_chaos_in_the_realm,_but_your_claim_is_not_so_strong.
str_you_speak_of_protecting_the_rights_of_lords_it_is_of_course_important_that_a_king_respect_the_rights_of_his_vassals_although_i_worry_that_a_king_who_took_a_throne_without_proper_cause_would_not_rule_with_justice You_speak_of_protecting_the_rights_of_lords._It_is_of_course_important_that_a_king_respect_the_rights_of_his_vassals,_although_I_worry_that_a_king_who_took_a_throne_without_proper_cause_would_not_rule_with_justice.
str_you_speak_of_protecting_the_rights_of_lords_it_is_of_course_important_that_a_king_respect_the_rights_of_his_vassals_however_i_would_like_to_know_that_you_would_indeed_deliver_on_your_promises You_speak_of_protecting_the_rights_of_lords._It_is_of_course_important_that_a_king_respect_the_rights_of_his_vassals._However,_I_would_like_to_know_that_you_would_indeed_deliver_on_your_promises.
str_you_speak_of_protecting_the_commons_i_would_be_pleased_to_serve_a_king_who_respected_the_rights_of_his_subjects_although_i_worry_that_a_king_who_took_a_throne_without_proper_cause_would_not_rule_with_justice You_speak_of_protecting_the_commons._I_would_be_pleased_to_serve_a_king_who_respected_the_rights_of_his_subjects,_although_I_worry_that_a_king_who_took_a_throne_without_proper_cause_would_not_rule_with_justice.
str_you_speak_of_protecting_the_commons_i_would_be_pleased_to_serve_a_king_who_respected_the_rights_of_his_subjects_however_i_would_like_to_know_that_you_would_indeed_deliver_on_your_promises You_speak_of_protecting_the_commons._I_would_be_pleased_to_serve_a_king_who_respected_the_rights_of_his_subjects._However,_I_would_like_to_know_that_you_would_indeed_deliver_on_your_promises.
str_i_am_not_swayed_by_promises_of_reward I_am_not_swayed_by_promises_of_reward
str_you_speak_of_unifying_calradia_it_would_be_good_to_bring_peace_to_the_realm_and_i_believe_that_you_are_strong_enough_to_do_so You_speak_of_unifying_Calradia._It_would_be_good_to_bring_peace_to_the_realm,_and_I_believe_that_you_are_strong_enough_to_do_so.
str_you_speak_of_unifying_calradia_it_would_be_good_to_bring_peace_the_realm_but_with_your_kingdom_in_its_current_state_i_worry_that_you_are_just_bringing_more_discord You_speak_of_unifying_Calradia._It_would_be_good_to_bring_peace_the_realm,_but_with_your_kingdom_in_its_current_state,_I_worry_that_you_are_just_bringing_more_discord.
str_s15 {!}{s15
str_my_s11_s15 my_{s11}_{s15}
str_stop_gap__s15_is_the_rival_of_s16 {!}[STOP_GAP_-_{s15}_is_the_rival_of_{s16}
str_my_s11_s18 My_{s11}_{s18}
str_the_socalled_s11_s18 The_so-called_{s11}_{s18}
str_s18_would_cheat_me_of_my_inheritance_by_heaven_i_know_my_rights_and_im_not_going_to_back_down {s18}_would_cheat_me_of_my_inheritance._By_heaven,_I_know_my_rights,_and_I'm_not_going_to_back_down.
str_s18_once_questioned_my_honour_and_my_bravery_i_long_for_the_day_when_i_can_meet_him_in_battle_and_make_him_retract_his_statement {s18}_once_questioned_my_honour_and_my_bravery._I_long_for_the_day_when_I_can_meet_him_in_battle,_and_make_him_retract_his_statement.
str_s18_once_questioned_my_judgment_in_battle_by_heaven_would_he_have_us_shirk_our_duty_to_smite_our_sovereigns_foes {s18}_once_questioned_my_judgment_in_battle._By_heaven,_would_he_have_us_shirk_our_duty_to_smite_our_sovereign's_foes?
str_s18_seems_to_think_he_has_the_right_to_some_of_my_property_well_he_does_not {s18}_seems_to_think_he_has_the_right_to_some_of_my_property._Well,_he_does_not.
str_s18_once_took_something_i_said_amiss_stubborn_bastard_wont_give_it_up_and_keeps_trying_to_get_me_to_recant_my_words {s18}_once_took_something_I_said_amiss._Stubborn_bastard_won't_give_it_up,_and_keeps_trying_to_get_me_to_recant_my_words.
str_s18_is_a_crafty_weasel_and_i_dont_trust_him_one_bit {s18}_is_a_crafty_weasel,_and_I_don't_trust_him_one_bit.
str_s18_i_despite_him_he_puts_on_such_a_nauseating_display_of_virtue_and_thinks_nothing_of_insulting_his_betters {s18}?_I_despise_him._He_puts_on_such_a_nauseating_display_of_virtue,_and_thinks_nothing_of_insulting_his_betters.
str_s18_entered_into_a_little_deal_with_me_and_is_now_trying_to_wriggle_out_of_it {s18}_entered_into_a_little_deal_with_me_and_is_now_trying_to_wriggle_out_of_it.
str_s18_once_ran_an_errand_for_me_and_now_thinks_i_owe_him_something_i_owe_his_ilk_nothing {s18}_once_ran_an_errand_for_me,_and_now_thinks_I_owe_him_something._I_owe_his_ilk_nothing.
str_s18_is_soft_and_weak_and_not_fit_to_govern_a_fief_and_i_have_always_detested_him {s18}_is_soft,_and_weak,_and_not_fit_to_govern_a_fief,_and_I_have_always_detested_him.
str_s18_is_a_quarrelsome_oaf_and_a_liability_in_my_opinion_and_ive_let_him_know_as_much {s18}_is_a_quarrelsome_oaf_and_a_liability,_in_my_opinion,_and_I've_let_him_know_as_much.
str_s18_i_am_sorry_to_say_is_far_too_softhearted_a_man_to_be_given_any_kind_of_responsibility_his_chivalry_will_allow_the_enemy_to_flee_to_fight_another_day_and_will_cost_the_lives_of_my_own_faithful_men {s18},_I_am_sorry_to_say,_is_far_too_softhearted_a_man_to_be_given_any_kind_of_responsibility._His_chivalry_will_allow_the_enemy_to_flee_to_fight_another_day,_and_will_cost_the_lives_of_my_own_faithful_men.
str_s18_seems_to_have_something_against_me_for_some_reason_i_dont_like_to_talk_ill_of_people_but_i_think_hes_can_be_a_bit_of_a_cad_sometimes {s18}_seems_to_have_something_against_me,_for_some_reason._I_don't_like_to_talk_ill_of_people,_but_I_think_he's_can_be_a_bit_of_a_cad,_sometimes.
str_s18_has_always_treated_me_contemptuously_although_i_have_done_him_no_wrong {s18}_has_always_treated_me_contemptuously,_although_I_have_done_him_no_wrong.
str_s18_is_thoroughly_dishonorable_and_a_compulsive_spinner_of_intrigues_which_i_fear_will_drag_us_into_wars_or_incite_rebellions {s18}_is_thoroughly_dishonorable,_and_a_compulsive_spinner_of_intrigues_which_I_fear_will_drag_us_into_wars_or_incite_rebellions.
str_s18_disappoints_me_i_once_scolded_for_his_rashness_in_battle_and_he_took_offense_i_do_not_care_to_apologize_for_my_efforts_to_save_his_life_and_the_lives_of_his_men {s18}_disappoints_me._I_once_scolded_for_his_rashness_in_battle,_and_he_took_offense._I_do_not_care_to_apologize_for_my_efforts_to_save_his_life,_and_the_lives_of_his_men.
str_s18_squanders_money_and_carouses_in_a_way_most_unbefitting_a_noble_by_doing_so_he_disgraces_us_all {s18}_squanders_money_and_carouses_in_a_way_most_unbefitting_a_noble._By_doing_so,_he_disgraces_us_all.
str_s18_has_been_speaking_ill_of_me_behind_my_back_or_so_they_say {s18}_has_been_speaking_ill_of_me_behind_my_back,_or_so_they_say.
str_s18_is_a_disgrace_reg3shehe_consorts_with_merchants_lends_money_at_interest_uses_coarse_language_and_shows_no_attempt_to_uphold_the_dignity_of_the_honor_bestowed_upon_reg3herhim {s18}_is_a_disgrace._{reg3?She:He}_consorts_with_merchants,_lends_money_at_interest,_uses_coarse_language,_and_shows_no_attempt_to_uphold_the_dignity_of_the_honor_bestowed_upon_{reg3?her:him}.
str_s18_has_condemned_me_for_engaging_in_commerce_what_could_possibly_be_wrong_with_that {s18}_has_condemned_me_for_engaging_in_commerce._What_could_possibly_be_wrong_with_that?
str_s18_i_have_heard_has_been_encouraging_seditious_ideas_among_the_peasantry__a_foolish_move_which_endangers_us_all {s18},_I_have_heard,_has_been_encouraging_seditious_ideas_among_the_peasantry_--_a_foolish_move_which_endangers_us_all.
str_s18_has_called_me_out_for_the_way_i_deal_with_my_tenants_well_so_be_it_if_i_teach_them_that_they_are_the_equal_of_anyone_with_socalled_gentle_blood_what_is_it_to_reg3herhim {s18}_has_called_me_out_for_the_way_I_deal_with_my_tenants._Well,_so_be_it._If_I_teach_them_that_they_are_the_equal_of_anyone_with_so-called_'gentle'_blood,_what_is_it_to_{reg3?her:him}?
str_a_most_gallant_gentleman_who_knows_how_to_treat_a_lady a_most_gallant_gentleman,_who_knows_how_to_treat_a_lady
str_a_base_cad a_base_cad
str_a_man_who_treats_me_as_his_equal_which_is_rare a_man_who_treats_me_as_his_equal,_which_is_rare
str_appears_to_value_me_with_his_estate_and_his_horse_as_prizes_worth_having appears_to_value_me_with_his_estate_and_his_horse_as_prizes_worth_having
str_a_bit_dull_but_what_can_you_expect a_bit_dull,_but_what_can_you_expect...
str_the_man_whom_destiny_intends_for_me the_man_whom_destiny_intends_for_me
str_is_not_right_for_me__i_cannot_say_why_but_he_makes_my_skin_crawl is_not_right_for_me_-_I_cannot_say_why,_but_he_makes_my_skin_crawl
str_is_a_man_who_clearly_intends_to_make_his_mark_in_the_world is_a_man_who_clearly_intends_to_make_his_mark_in_the_world
str_is_a_layabout_a_naif_prey_for_others_who_are_cleverer_than_he is_a_lay-about,_a_naif,_prey_for_others_who_are_cleverer_than_he
str_is_a_man_of_stalwart_character is_a_man_of_stalwart_character
str_appears_to_be_a_man_of_low_morals appears_to_be_a_man_of_low_morals
str_appears_to_be_a_man_who_lacks_selfdiscipline appears_to_be_a_man_who_lacks_self-discipline
str_check_reg8_s4_reconciles_s5_and_s6_ {!}Check_#{reg8}:_{s4}_reconciles_{s5}_and_{s6}_
str_diagnostic__player_should_receive_consultation_quest_here_if_not_already_active {!}Diagnostic_--_Player_should_receive_consultation_quest_here,_if_not_already_active
str_check_reg8_s4_rules_in_s5s_favor_in_quarrel_with_s6_ {!}Check_#{reg8}:_{s4}_rules_in_{s5}'s_favor_in_quarrel_with_{s6}_
str_check_reg8_new_rivalry_generated_between_s5_and_s6 {!}Check_#{reg8}:_New_rivalry_generated_between_{s5}_and_{s6}
str_check_reg8_s5_attempts_to_win_over_s6 {!}Check_#{reg8}:_{s5}_attempts_to_win_over_{s6}
str_s1_has_no_lords {!}{s1}_has_no_lords
str_do_political_consequences_for_s4_victory_over_s5 {!}Do_political_consequences_for_{s4}_victory_over_{s5}
str_bandits_attacked_a_party_on_the_roads_so_a_bounty_is_probably_available Bandits_attacked_a_party_on_the_roads,_so_a_bounty_is_probably_available
str_travellers_attacked_on_road_from_s15_to_s16 {!}Travellers_attacked_on_road_from_{s15}_to_{s16}
str_s15_shares_joy_of_victory_with_s16 {!}{s15}_shares_joy_of_victory_with_{s16}
str_faction_marshall_s15_involved_in_defeat {!}Faction_marshall_{s15}_involved_in_defeat
str_player_faction_marshall_involved_in_defeat {!}Player_faction_marshall_involved_in_defeat
str_s14_of_s15_defeated_in_battle_loses_one_point_relation_with_liege {!}{s14}_of_{s15}_defeated_in_battle,_loses_one_point_relation_with_liege
str_s14_defeated_in_battle_by_s15_loses_one_point_relation {!}{s14}_defeated_in_battle_by_{s15},_loses_one_point_relation
str_s14_blames_s15_for_defeat {!}{s14}_blames_{s15}_for_defeat
str_s32_is_undeclared_rebel {!}{s32}_is_undeclared_rebel
str_small_bonus_for_no_base {!}Small_bonus_for_no_base
str_s15_considered_member_of_faction_s20_weight_of_reg15 {!}{s15}_considered_member_of_faction_{s20},_weight_of_{reg15}
str_checking_for_recruitment_argument_reg24 {!}Checking_for_recruitment_argument_#{reg24}
str_g_talk_troop_s20_evaluates_being_vassal_to_s22_of_s21 {!}_G_talk_troop_{s20}_evaluates_being_vassal_to_{s22}_of_{s21}
str_base_result_for_security_reg1 {!}Base_result_for_security:_{reg1}
str_result_for_security_weighted_by_personality_reg2 {!}Result_for_security_weighted_by_personality:_{reg2}
str_base_result_for_political_connections_reg3 {!}Base_result_for_political_connections:_{reg3}
str_result_for_political_connections_weighted_by_personality_reg4 {!}Result_for_political_connections_weighted_by_personality:_{reg4}
str_result_for_argument_strength_reg7 {!}Result_for_argument_strength:_{reg7}
str_result_for_argument_appeal_reg17 {!}Result_for_argument_appeal:_{reg17}
str_combined_result_for_argument_modified_by_persuasion_reg8 {!}Combined_result_for_argument_modified_by_persuasion:_{reg8}
str_base_changing_sides_penalty_reg9 {!}Base_changing_sides_penalty:_{reg9}
str_changing_sides_penalty_weighted_by_personality_reg10 {!}Changing_sides_penalty_weighted_by_personality:_{reg10}
str_combined_bonuses_and_penalties_=_reg0 {!}Combined_bonuses_and_penalties_=_{reg0}
str_intrigue_test_troop_party_is_active {!}Intrigue_test:_Troop_party_is_active
str_intrigue_test_troop_party_is_not_in_battle {!}Intrigue_test:_Troop_party_is_not_in_battle
str_intrigue_test_troop_is_not_prisoner {!}Intrigue_test:_Troop_is_not_prisoner
str_intrigue_test_troop_is_nearby {!}Intrigue_test:_Troop_is_nearby
str_s20_relation_with_s15_changed_by_reg4_to_reg14 {!}{s20}_relation_with_{s15}_changed_by_{reg4}_to_{reg14}
str_total_additions_reg4 Total_additions:_{reg4}
str_total_subtractions_reg4 Total_subtractions:_{reg4}
str_checking_lord_reactions_in_s15 {!}Checking_lord_reactions_in_{s15}
str_s14_protests_the_appointment_of_s15_as_marshall {!}{s14}_protests_the_appointment_of_{s15}_as_marshall
str_s11_relocates_to_s10 {s11}_relocates_to_{s10}.
str_checking_s3_at_s5_with_s11_relationship_with_s4_score_reg0 {!}Checking_{s3}_at_{s5}_with_{s11}_relationship_with_{s4}_(score_{reg0})
str_s3_feast_concludes_at_s4 {!}{s3}_feast_concludes_at_{s4}
str_attendance_reg3_nobles_out_of_reg4 {!}Attendance:_{reg3}_nobles_out_of_{reg4}
str_romantic_chemistry_reg0 {!}DEBUG_:_Romantic_chemistry:_{reg0}
str_personality_modifier_reg2 {!}Personality_modifier:_{reg2}
str_renown_modifier_reg3 {!}Renown_modifier:_{reg3}
str_final_score_reg0 {!}Final_score:_{reg0}
str_s4_pursues_suit_with_s5_in_s7 {!}{s4}_pursues_suit_with_{s5}_in_{s7}
str_note__favor_event_logged {!}NOTE_-_Favor_event_logged
str_result_lady_forced_to_agree_to_engagement {!}Result:_lady_forced_to_agree_to_engagement
str_result_lady_rejects_suitor {!}Result:_lady_rejects_suitor
str_result_happy_engagement_between_s4_and_s5 {!}Result:_happy_engagement_between_{s4}_and_{s5}
str_result_s4_elopes_with_s5 {!}Result:_{s4}_elopes_with_{s5}
str_result_s4_reluctantly_agrees_to_engagement_with_s5 {!}Result:_{s4}_reluctantly_agrees_to_engagement_with_{s5}
str_result_stalemate_patience_roll_=_reg3 {!}Result:_stalemate,_patience_roll_=_{reg3}
str_s3_marries_s4_at_s5 {!}{s3}_marries_{s4}_at_{s5}
str__i_must_attend_to_this_matter_before_i_worry_about_the_affairs_of_the_realm _I_must_attend_to_this_matter_before_I_worry_about_the_affairs_of_the_realm.
str_the_other_matter_took_precedence The_other_matter_took_precedence.
str_i_cannot_leave_this_fortress_now_as_it_is_under_siege I_cannot_leave_this_fortress_now,_as_it_is_under_siege.
str_after_all_we_are_under_siege After_all,_we_are_under_siege.
str_we_are_not_strong_enough_to_face_the_enemy_out_in_the_open We_are_not_strong_enough_to_face_the_enemy_out_in_the_open.
str_i_should_probably_seek_shelter_behind_some_stout_walls I_should_probably_seek_shelter_behind_some_stout_walls.
str_enemies_are_reported_to_be_nearby_and_we_should_stand_ready_to_either_man_the_walls_or_sortie_out_to_do_battle Enemies_are_reported_to_be_nearby,_and_we_should_stand_ready_to_either_man_the_walls_or_sortie_out_to_do_battle.
str_the_enemy_is_nearby The_enemy_is_nearby.
str_as_the_marshall_i_am_assembling_the_army_of_the_realm As_the_marshal,_I_am_assembling_the_army_of_the_realm.
str_as_the_marshall_i_am_assembling_the_army_of_the_realm_and_travel_to_lands_near_s10_to_inform_more_vassals As_the_marshal,_I_am_assembling_the_army_of_the_realm._We_are_travelling_to_the_region_of_{s10}_to_inform_more_vassals.
str_i_intend_to_assemble_the_army_of_the_realm I_intend_to_assemble_the_army_of_the_realm.
str_as_the_marshall_i_am_leading_the_siege As_the_marshal,_I_am_leading_the_siege.
str_i_intend_to_begin_the_siege I_intend_to_begin_the_siege.
str_as_the_marshall_i_am_leading_our_raid As_the_marshal,_I_am_leading_our_raid.
str_i_intend_to_start_our_raid I_intend_to_start_our_raid.
str_as_the_marshall_i_am_leading_our_forces_in_search_of_the_enemy As_the_marshal,_I_am_leading_our_forces_in_search_of_the_enemy.
str_i_intend_to_lead_our_forces_out_to_find_the_enemy I_intend_to_lead_our_forces_out_to_find_the_enemy.
str_as_the_marshall_i_am_leading_our_forces_to_engage_the_enemy_in_battle As_the_marshal,_I_am_leading_our_forces_to_engage_the_enemy_in_battle.
str_i_intend_to_lead_our_forces_out_to_engage_the_enemy I_intend_to_lead_our_forces_out_to_engage_the_enemy.
str_i_dont_have_enough_troops_and_i_need_to_get_some_more I_don't_have_enough_troops,_and_I_need_to_get_some_more.
str_i_am_running_low_on_troops I_am_running_low_on_troops.
str_we_are_following_your_direction We_are_following_your_direction.
str_i_need_to_make_preparations_for_your_wedding I_need_to_make_preparations_for_your_wedding.
str_after_all_i_need_to_make_preparations_for_your_wedding After_all,_I_need_to_make_preparations_for_your_wedding.
str_i_am_heading_to_the_site_of_our_wedding I_am_heading_to_the_site_of_our_wedding.
str_after_all_we_are_soon_to_be_wed After_all,_we_are_soon_to_be_wed!
str_i_am_hosting_a_feast_there I_am_hosting_a_feast_there.
str_i_have_a_feast_to_host I_have_a_feast_to_host.
str_i_am_to_be_the_bridegroom_there I_am_to_be_the_bridegroom_there.
str_my_wedding_day_draws_near My_wedding_day_draws_near.
str_i_have_too_much_loot_and_too_many_prisoners_and_need_to_secure_them I_have_too_much_loot_and_too_many_prisoners,_and_need_to_secure_them.
str_i_should_think_of_dropping_off_some_of_my_prisoners I_should_think_of_dropping_off_some_of_my_prisoners.
str_i_need_to_reinforce_it_as_it_is_poorly_garrisoned I_need_to_reinforce_it,_as_it_is_poorly_garrisoned.
str_there_is_a_hole_in_our_defenses There_is_a_hole_in_our_defenses.
str_i_am_following_the_marshals_orders I_am_following_the_marshal's_orders.
str_the_marshal_has_given_me_this_command The_marshal_has_given_me_this_command.
str_i_am_answering_the_marshals_summons I_am_answering_the_marshal's_summons.
str_our_realm_needs_my_support_there_is_enemy_raiding_one_of_our_villages_which_is_not_to_far_from_here_i_am_going_there Our_realm_needs_my_support._There_is_enemy_raiding_one_of_our_villages_which_is_not_to_far_from_here._I_am_going_there.
str_the_marshal_has_issued_a_summons The_marshal_has_issued_a_summons.
str_comradeinarms comrade-in-arms.
str_i_am_supporting_my_s11_s10 I_am_supporting_my_{s11}_{s10}.
str_i_believe_that_one_of_my_comrades_is_in_need I_believe_that_one_of_my_comrades_is_in_need.
str_s20_decided_to_attack_s21 {!}{s20}_decided_to_attack_{s21}.
str_a_fortress_is_vulnerable A_fortress_is_vulnerable.
str_i_believe_that_the_enemy_may_be_vulnerable I_believe_that_the_enemy_may_be_vulnerable.
str_i_need_to_inspect_my_properties_and_collect_my_dues I_need_to_inspect_my_properties_and_collect_my_dues.
str_it_has_been_too_long_since_i_have_inspected_my_estates It_has_been_too_long_since_I_have_inspected_my_estates.
str_my_men_are_weary_so_we_are_returning_home My_men_are_weary,_so_we_are_returning_home.
str_my_men_are_becoming_weary My_men_are_becoming_weary.
str_i_have_a_score_to_settle_with_the_lord_there I_have_a_score_to_settle_with_the_lord_there.
str_i_am_thinking_of_settling_an_old_score I_am_thinking_of_settling_an_old_score.
str_i_am_short_of_money_and_i_hear_that_there_is_much_wealth_there I_am_short_of_money,_and_I_hear_that_there_is_much_wealth_there.
str_i_need_to_refill_my_purse_preferably_with_the_enemys_money I_need_to_refill_my_purse,_preferably_with_the_enemy's_money.
str_by_striking_at_the_enemys_richest_lands_perhaps_i_can_draw_them_out_to_battle By_striking_at_the_enemy's_richest_lands,_perhaps_I_can_draw_them_out_to_battle!
str_i_am_thinking_of_going_on_the_attack I_am_thinking_of_going_on_the_attack.
str_perhaps_if_i_strike_one_more_blow_we_may_end_this_war_on_our_terms_ Perhaps,_if_I_strike_one_more_blow,_we_may_end_this_war_on_our_terms._
str_we_may_be_able_to_bring_this_war_to_a_close_with_a_few_more_blows We_may_be_able_to_bring_this_war_to_a_close_with_a_few_more_blows.
str_i_wish_to_attend_the_feast_there I_wish_to_attend_the_feast_there.
str_there_is_a_feast_which_i_wish_to_attend There_is_a_feast_which_I_wish_to_attend.
str_there_is_a_fair_lady_there_whom_i_wish_to_court There_is_a_fair_lady_there,_whom_I_wish_to_court.
str_i_have_the_inclination_to_pay_court_to_a_fair_lady I_have_the_inclination_to_pay_court_to_a_fair_lady.
str_we_have_heard_reports_that_the_enemy_is_in_the_area We_have_heard_reports_that_the_enemy_is_in_the_area.
str_i_have_heard_reports_of_enemy_incursions_into_our_territory I_have_heard_reports_of_enemy_incursions_into_our_territory.
str_i_need_to_spend_some_time_with_my_household I_need_to_spend_some_time_with_my_household.
str_it_has_been_a_long_time_since_i_have_been_able_to_spend_time_with_my_household It_has_been_a_long_time_since_I_have_been_able_to_spend_time_with_my_household.
str_i_am_watching_the_borders I_am_watching_the_borders.
str_i_may_be_needed_to_watch_the_borders I_may_be_needed_to_watch_the_borders.
str_i_will_guard_the_areas_near_my_home I_will_guard_the_areas_near_my_home...
str_i_am_perhaps_needed_most_at_home I_am_perhaps_needed_most_at_home.
str_i_cant_think_of_anything_better_to_do I_can't_think_of_anything_better_to_do...
str_i_am_completing_what_i_have_already_begun I_am_completing_what_I_have_already_begun.
str_i_dont_even_have_a_home_to_which_to_return I_don't_even_have_a_home_to_which_to_return.
str_debug__s10_decides_s14_faction_ai_s15 {!}DEBUG_:_{s10}_decides:_{s14}_(faction_AI:_{s15})
str__i_am_acting_independently_because_no_marshal_is_appointed _I_am_acting_independently,_because_no_marshal_is_appointed.
str__i_am_acting_independently_because_our_marshal_is_currently_indisposed _I_am_acting_independently,_because_our_marshal_is_currently_indisposed.
str__i_am_acting_independently_because_our_realm_is_currently_not_on_campaign _I_am_acting_independently,_because_our_realm_is_currently_not_on_campaign.
str__i_am_not_accompanying_the_marshal_because_i_fear_that_he_may_lead_us_into_disaster _I_am_not_accompanying_the_marshal,_because_I_fear_that_he_may_lead_us_into_disaster.
str_i_am_not_accompanying_the_marshal_because_i_question_his_judgment _I_am_not_accompanying_the_marshal,_because_I_question_his_judgment.
str_i_am_not_accompanying_the_marshal_because_i_can_do_greater_deeds _I_am_not_accompanying_the_marshal,_because_I_can_do_greater_deeds.
str__s16_has_kept_us_on_campaign_on_far_too_long_and_there_are_other_pressing_matters_to_which_i_must_attend _{s16}_has_kept_us_on_campaign_on_far_too_long,_and_there_are_other_pressing_matters_to_which_I_must_attend.
str__i_am_not_participating_in_the_marshals_campaign_because_i_do_not_know_where_to_find_our_main_army _I_am_not_participating_in_the_marshal's_campaign,_because_I_do_not_know_where_to_find_our_main_army.
str__i_am_acting_independently_although_some_enemies_have_been_spotted_within_our_borders_they_havent_come_in_force_and_the_local_troops_should_be_able_to_dispatch_them _I_am_acting_independently._Although_some_enemies_have_been_spotted_within_our_borders,_they_haven't_come_in_force_and_the_local_troops_should_be_able_to_dispatch_them.
str__the_needs_of_the_realm_must_come_first _The_needs_of_the_realm_must_come_first.
str_we_are_likely_to_be_overwhelmed_by_the_s9_let_each_defend_their_own We_are_likely_to_be_overwhelmed_by_the_{s9}._Let_each_defend_their_own.
str_we_should_see_this_siege_through We_should_see_this_siege_through.
str_we_should_prepare_to_defend_s21_but_we_should_gather_our_forces_until_we_are_strong_enough_to_engage_them We_should_prepare_to_defend_{s21},_but_we_should_gather_our_forces_until_we_are_strong_enough_to_engage_them.
str_we_should_prepare_to_defend_s21_but_first_we_have_to_gather We_should_prepare_to_defend_{s21}._But_first_we_have_to_gather_our_army.
str_we_should_ride_to_break_the_siege_of_s21 We_should_ride_to_break_the_siege_of_{s21}.
str_we_should_ride_to_defeat_the_enemy_gathered_near_s21 We_should_ride_to_defeat_the_enemy_gathered_near_{s21}.
str_we_have_located_s21s_army_and_we_should_engage_it We_have_located_{s21}'s_army,_and_we_should_engage_it.
